,age,balance,day,duration,campaign,pdays,previous,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_nan,marital_married,marital_single,marital_nan,education_secondary,education_tertiary,education_nan,contact_telephone,contact_nan,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,month_nan,poutcome_other,poutcome_success,poutcome_nan,subscribed_yes,subscribed_nan,default_yes,housing_yes,loan_yes,TotalContacts
0,0.32,0.001594543354913356,1,3.0944206008583692,2,0.9396115400483361,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6948124598790065
1,0.39,0.0017844077383160214,1,-0.012875536480686695,2,0.9440613068254747,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5128236264286637
2,0.59,0.001986969583558031,1,-0.4721030042918455,2,1.155386257085655,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5128236264286637
3,0.47,0.0015985688876970208,1,0.1630901287553648,1,1.153587574135627,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5128236264286637
4,0.54,0.0019696534317311166,1,1.0429184549356223,1,1.2706777538095466,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29017895265036814
5,0.46,0.00192543625051805,1,0.9742489270386266,1,0.9440613068254747,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6948124598790065
6,0.34,0.002430697893324922,1,-0.3218884120171674,2,1.1802339094128025,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5128236264286637
7,0.45,0.0015972279075122469,1,0.06437768240343347,4,1.3053016659745074,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.2049723046590195
8,0.58,0.0015421798209437536,1,-0.49356223175965663,2,0.9484913608629537,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6948124598790065
9,0.49,0.005807498688567406,1,0.21030042918454936,3,0.9418388984879098,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8487254123783889
10,0.38,0.001800895302679225,2,3.0686695278969958,1,0.9418388984879098,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6948124598790065
11,0.49,0.0014485130483996148,2,0.2875536480686695,1,1.308390650418091,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5128236264286637
12,0.36,0.0033840007918234175,2,0.3605150214592275,1,0.946278787014555,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128236264286637
13,0.39,0.001671024380370236,2,1.553648068669528,2,0.9484913608629537,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0997227829521368
14,0.48,0.0013131057782465158,2,-0.38626609442060084,1,1.2044790955397628,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29017895265036814
15,0.38,0.0013131057782465158,2,1.0343347639484979,2,1.2044790955397628,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5128236264286637
16,0.46,0.0012899159930306737,2,-0.3090128755364807,1,1.2594048119984287,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5128236264286637
17,0.35,0.0017044182280708735,2,-0.7639484978540773,1,0.9506990500340388,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29017895265036814
18,0.58,0.0013138743430925917,2,0.41630901287553645,1,0.7777990237792107,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128236264286637
19,0.35,0.0033072144752322842,2,3.59656652360515,3,1.1150480430620127,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.467106003856304
20,0.32,0.00148492989514331,2,-0.6824034334763949,2,0.9440613068254747,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9820784724121582
21,0.3,0.0013131057782465158,2,0.2446351931330472,2,1.2818250316898376,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6948124598790065
22,0.53,0.0021852704888220055,2,0.9785407725321889,1,1.2381261074764598,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29017895265036814
23,0.4,0.0018148380746322002,2,0.6995708154506438,2,1.1889605393943852,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8487254123783889
24,0.57,0.0022946290015964095,2,0.07725321888412018,2,1.1941601958003105,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8487254123783889
25,0.37,0.001658688014950637,3,0.04291845493562232,2,0.9440613068254747,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2049723046590195
26,0.38,0.0009613945730132145,3,-0.21030042918454936,1,1.3099315718085718,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9820784724121582
27,0.54,0.0014151113844540055,3,0.4978540772532189,1,1.3099315718085718,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5128236264286637
28,0.56,0.0013131057782465158,3,0.5021459227467812,2,1.1335855435632163,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9820784724121582
29,0.24,0.0016632414948920932,3,0.26180257510729615,1,1.2959770456987203,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5128236264286637
30,0.35,0.002932812480741745,3,0.8969957081545065,1,0.9484913608629537,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6948124598790065
31,0.31,0.0017886948371846727,3,0.33476394849785407,1,1.2881395543191274,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29017895265036814
32,0.34,0.0012664651717248592,3,-0.6523605150214592,1,1.3099315718085718,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.29017895265036814
33,0.38,0.0015144495140464711,3,0.1759656652360515,2,1.3114701224130476,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5128236264286637
34,0.56,0.0031856706127944704,3,1.0643776824034334,1,0.9484913608629537,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6948124598790065
35,0.39,0.001676842523091909,3,0.017167381974248927,1,0.9506990500340388,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9820784724121582
36,0.56,0.0015200251824956284,20,-0.630901287553648,3,1.3236940460388593,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8487254123783889
37,0.57,0.002895384275326785,20,0.13304721030042918,2,1.249640102720486,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8487254123783889
38,0.46,0.0015262800242680306,20,0.6437768240343348,2,1.1463603140934728,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9820784724121582
39,0.4,0.0014391276074850645,20,-0.0944206008583691,1,1.3312588077976364,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29017895265036814
40,0.34,0.004183358662756458,20,-0.8884120171673819,3,0.9853748973391909,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6948124598790065
41,0.31,0.0013669812880929594,20,-0.21888412017167383,3,1.31607162218251,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3001916620664788
42,0.43,0.0013893334254877281,20,-0.45064377682403434,2,1.3357703480551655,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8487254123783889
43,0.27,0.002785343896580937,20,-0.3562231759656652,1,1.3037535881840596,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29017895265036814
44,0.53,0.0014792593758296926,20,0.2918454935622318,1,1.3221742022901748,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29017895265036814
45,0.34,0.001698037768305275,20,-0.6266094420600858,3,1.3312588077976364,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6948124598790065
